,abs_delta_arousal,abs_delta_arousal,abs_delta_arousal,abs_delta_valence,abs_delta_valence,abs_delta_valence,delta_affect_shift_mag,delta_affect_shift_mag,delta_affect_shift_mag,delta_arousal,delta_arousal,delta_arousal,delta_valence,delta_valence,delta_valence
perturbation,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap
original_post_id,,,,,,,,,,,,,,,
1005dix,0.0969703187127795,0.10677565764544461,0.11710087107886125,0.05839203069061849,0.08230131083441794,0.07265549763847456,0.11319395725670238,0.13481300690467768,0.13780941674835748,-0.0969703187127795,-0.10677565764544461,-0.11710087107886125,-0.05839203069061849,-0.08230131083441794,-0.07265549763847456
1007zmq,0.13914700165093663,0.09210159086300518,0.0013907336056151465,0.056956529029199565,0.18912999668138042,0.08771857536294547,0.15035269956838093,0.21036363441478037,0.08772959935886253,0.13914700165093663,0.09210159086300518,-0.0013907336056151465,0.056956529029199565,0.18912999668138042,0.08771857536294547
100epvl,0.052869274196551075,0.023159812203878083,0.07659411681862416,0.037554967756869395,0.03135293869235589,0.044675538722719565,0.06485010221495106,0.03897927226059418,0.08867109163301341,-0.052869274196551075,-0.023159812203878083,-0.07659411681862416,0.037554967756869395,0.03135293869235589,0.044675538722719565
100klgx,0.03173705009095196,0.03332087506417958,0.040741903157130555,0.10475557085170806,0.18395832147633318,0.1985612132986092,0.10945761724495386,0.1869517177119071,0.20269794794097148,-0.03173705009095196,-0.03332087506417958,-0.040741903157130555,-0.10475557085170806,-0.18395832147633318,-0.1985612132986092
100sblq,0.02509988152186171,0.005856237520617036,0.03368894877803719,0.03426929472744966,0.00687955622500791,0.07543973712249308,0.042478095690935865,0.009034589738938224,0.08262021064412794,0.02509988152186171,0.005856237520617036,-0.03368894877803719,-0.03426929472744966,-0.00687955622500791,-0.07543973712249308
100t5dc,0.040301362496447446,0.04065382247674432,0.012811382571221941,0.1364663866404774,0.021162328362742677,0.2507840037889162,0.1422929179607275,0.04583205672564984,0.25111102739582214,-0.040301362496447446,-0.04065382247674432,0.012811382571221941,-0.1364663866404774,-0.021162328362742677,-0.2507840037889162
100w6qj,0.03215907570007026,0.04800818382679051,0.010079391839831864,0.132874909630452,0.14340635763377296,0.13662232006220254,0.13671118373850633,0.1512288633962859,0.13699362203781526,0.03215907570007026,-0.04800818382679051,0.010079391839831864,-0.132874909630452,-0.14340635763377296,-0.13662232006220254
100zajn,0.054835656588906545,0.01798360231332463,0.08823244089340943,0.10875056629032986,0.15379307995650215,0.1899391612046113,0.12179341074953079,0.15484095515938567,0.2094322052243167,-0.054835656588906545,-0.01798360231332463,-0.08823244089340943,-0.10875056629032986,-0.15379307995650215,-0.1899391612046113
