perturbation,selected_hit_count,n_posts,mean_abs_delta_valence,mean_abs_delta_arousal,mean_delta_affect_shift_mag,median_delta_affect_shift_mag,mean_selected_hit_prop
deletion,1,4057,0.05700308416515265,0.05752461492521379,0.08965313467589248,0.08072875331346563,0.00927471356043238
mask,1,4057,0.0690108723294344,0.06423223048150334,0.10411282294037637,0.0887859208290422,0.00927471356043238
replacement_lowgap,1,4057,0.08179945792077731,0.06429239760620165,0.11480626124728716,0.08957588629201697,0.00927471356043238
deletion,2,1487,0.09134213598788146,0.09159184259662484,0.14372126291153609,0.11838369612592438,0.013672170236590736
mask,2,1487,0.104267333184527,0.09403493003905915,0.1555407533345456,0.13535281024491766,0.013672170236590736
replacement_lowgap,2,1487,0.12573842688789894,0.09312773961820627,0.17261750555496908,0.14702402596561573,0.013672170236590736
deletion,3,553,0.12636398139559946,0.12388523615547267,0.1983986135350199,0.16660967274784294,0.016490236655788477
mask,3,553,0.1428700050011604,0.12492089377118543,0.2120066918025767,0.18693258583264477,0.016490236655788477
replacement_lowgap,3,553,0.17172532820447223,0.11716767503198096,0.2291725610791387,0.18387653441915452,0.016490236655788477
deletion,4,207,0.17081975592708443,0.1427943382542204,0.25097196483087464,0.2125468830261785,0.01839487797436086
mask,4,207,0.16740227710177677,0.1412865772191847,0.24613906589107767,0.2065671038146221,0.01839487797436086
replacement_lowgap,4,207,0.21210369243300106,0.15086713738660654,0.29154318240964505,0.25718575041501424,0.01839487797436086
deletion,5,91,0.17848530710368532,0.17112346877523898,0.2785512728410698,0.2693972295961809,0.020685831574573793
mask,5,91,0.17412169306318742,0.17386406616038214,0.2752723539283367,0.23330001581633464,0.020685831574573793
replacement_lowgap,5,91,0.216593507342886,0.1947535657809072,0.3289716908313362,0.2877993553331044,0.020685831574573793
deletion,6,45,0.23297042026956602,0.1642481267221012,0.31456839168513995,0.25755184766433364,0.02648174790260129
mask,6,45,0.19975895770212634,0.1842580064028765,0.3008875402806504,0.2720161223781058,0.02648174790260129
replacement_lowgap,6,45,0.2705253065192552,0.2156625721323939,0.3864724087693275,0.33931595990270036,0.02648174790260129
deletion,7,15,0.24607804228365607,0.16064187026124907,0.34452997035772587,0.28205233786048006,0.02276692021968432
mask,7,15,0.253649825998067,0.15917390402967488,0.34157164309290305,0.28813731296083717,0.02276692021968432
replacement_lowgap,7,15,0.3991353008854547,0.15482288887271836,0.46201792002289976,0.3687823563122925,0.02276692021968432
deletion,8,12,0.21907317258673462,0.15816394579026274,0.29794664551002964,0.23010759421292937,0.0282303295623559
mask,8,12,0.15763677082411712,0.16416009053944838,0.24732801014332254,0.23624370741208367,0.0282303295623559
replacement_lowgap,8,12,0.3733433250175957,0.19634939657476314,0.4364089666655165,0.34824055183636243,0.0282303295623559
deletion,9,4,0.11086308120297095,0.11911274850898501,0.16328293653296855,0.08072538233739025,0.0352553402657877
mask,9,4,0.1283207318746552,0.20676030375848709,0.2651880798822501,0.22831884669112532,0.0352553402657877
replacement_lowgap,9,4,0.2883058784175383,0.09217105839450901,0.34867138246049734,0.16377539844157124,0.0352553402657877
deletion,10,5,0.16843847913211202,0.13356466678382736,0.23301072921556137,0.1811622880407161,0.0330636688078628
mask,10,5,0.20289710734388322,0.24078696277886266,0.3206651986659049,0.3363531443093865,0.0330636688078628
replacement_lowgap,10,5,0.2537610488301153,0.3408240304897101,0.4487090103764168,0.631358915489441,0.0330636688078628
deletion,11,3,0.3294230509995704,0.7562030663121263,0.85865488789844,1.0773033038005255,0.03159948223460177
mask,11,3,0.30253463729681257,0.8245758687868965,0.917557836977475,1.1489015382878796,0.03159948223460177
replacement_lowgap,11,3,0.23436835192948577,0.8520570783802276,0.8969567205262671,0.9993147250161987,0.03159948223460177
deletion,14,2,0.46520586965507515,0.6654488394562983,0.9698406543805691,0.9698406543805691,0.0356833535423523
mask,14,2,0.37841626728256017,0.7407741603198694,0.9228472455132866,0.9228472455132866,0.0356833535423523
replacement_lowgap,14,2,0.403209630143631,0.8533800545544323,1.0088235779469215,1.0088235779469215,0.0356833535423523
deletion,15,1,0.022849952960237507,0.48706030010177814,0.48759599699497047,0.48759599699497047,0.038860103626943
mask,15,1,0.030099221906171758,0.5053281432277723,0.5062237603050502,0.5062237603050502,0.038860103626943
replacement_lowgap,15,1,0.08170903089873072,0.032506693444481094,0.08793776690991875,0.08793776690991875,0.038860103626943
