high_gap_token_count_selected,n_posts,mean_pred_valence_1_9,median_pred_valence_1_9,mean_pred_arousal_1_9,median_pred_arousal_1_9
0,2686,5.071026295258966,5.015258498690195,5.018995245648191,5.082723738233772
1,4057,5.015306222316411,4.970560956916286,5.001431414335183,5.074341071806412
2,1487,5.014882564050483,4.9579770098621925,4.866771668434803,4.90312852177128
3,553,5.140446650427482,5.045048744611469,4.66965974461344,4.6766576987373885
4,207,5.218449267460794,5.190540774728395,4.396926617478059,4.364210321306489
5,91,5.628632656060404,5.59715822859738,4.545179093893027,4.624164199793952
6,45,4.979088528382863,4.663635490959388,4.52413418330411,4.529358182615062
7,15,5.566526013048848,5.4295327190180025,4.000869985832809,4.022014115039779
8,12,5.144912505201694,5.058472918891622,4.330972173560604,4.550073100870453
9,4,6.94291352234956,7.8743343103682495,5.328729213468998,4.534395131470651
10,5,7.246719038325567,7.452826628749543,5.923379954806736,6.437000763902053
11,3,7.559515878768267,7.3651646066769425,4.007132679165856,4.1412751245734825
14,2,7.69510605994437,7.69510605994437,5.540045290907063,5.540045290907063
15,1,1.2561517370948614,1.2561517370948614,2.594160074446176,2.594160074446176
