word,overall_token_count,overall_doc_count,overall_freq_per_10k_highgap_tokens,mh_token_count,mh_doc_count,mh_freq_per_10k_highgap_tokens,mh_enrichment_ratio
good,4907,3507,2480.036389366219,1243.0,835.0,3469.1599218531956,1.3988342819192874
great,1606,1312,811.685029819064,300.0,259.0,837.2871895060005,1.0315419882668182
story,1402,965,708.5818255332053,140.0,113.0,390.73402176946695,0.5514310524065298
interesting,1144,999,578.1865965834428,177.0,160.0,493.9994418085403,0.8543944891282046
thank,725,643,366.42070150611545,121.0,112.0,337.7058331007535,0.921634153618353
due,625,581,315.8799150914788,107.0,101.0,298.63243092380685,0.9453986045215238
beginning,544,500,274.94187809562317,98.0,88.0,273.5138152386268,0.9948059463808039
dream,524,281,264.83372081269584,73.0,47.0,203.73988277979348,0.7693124657796867
normal,475,397,240.06873546952392,129.0,108.0,360.03349148758025,1.4997100342238685
father,440,270,222.3794602244011,29.0,23.0,80.93776165224673,0.3639623981963497
special,407,357,205.701000707571,81.0,74.0,226.06754116662017,1.0990104102016678
tea,358,153,180.93601536439908,53.0,34.0,147.92073681272677,0.8175306420615145
clothes,285,198,144.04124128171435,33.0,27.0,92.10159084566006,0.6394112549050402
wear,268,179,135.44930759122613,15.0,15.0,41.86435947530003,0.30907769275819286
area,262,217,132.41686040634792,22.0,18.0,61.40106056377337,0.4636951848570348
born,255,205,128.87900535732336,23.0,19.0,64.1920178621267,0.4980797119333216
comfortable,254,236,128.373597493177,78.0,71.0,217.69466927156012,1.69579004968241
grow,233,200,117.76003234610332,41.0,36.0,114.42924923248674,0.9717155044268421
park,226,147,114.22217729707874,33.0,27.0,92.10159084566006,0.8063372019805582
decide,219,209,110.68432224805419,50.0,49.0,139.54786491766677,1.2607735412126917
fresh,209,180,105.63024360659053,47.0,44.0,131.17499302260677,1.241831776048092
option,204,186,103.1032042858587,41.0,38.0,114.42924923248674,1.1098515320155926
wonderful,203,187,102.59779642171233,40.0,37.0,111.6382919341334,1.0881158838458227
extra,200,174,101.08157282927321,54.0,43.0,150.7116941110801,1.4909907898360582
lucky,183,167,92.489639138785,33.0,30.0,92.10159084566006,0.9958044133728486
begin,180,166,90.9734155463459,35.0,34.0,97.68350544236674,1.0737587992673383
shop,179,124,90.46800768219954,29.0,16.0,80.93776165224673,0.8946561743315297
card,175,94,88.44637622561407,9.0,8.0,25.118615685180014,0.28399824569207915
mix,139,120,70.2516931163449,21.0,20.0,58.610103265420044,0.8342874123833666
grocery,130,103,65.7030223390276,28.0,21.0,78.14680435389339,1.1893943622633747
shoes,117,74,59.13272010512484,9.0,9.0,25.118615685180014,0.4247837008191051
ideal,116,91,58.62731224097846,24.0,22.0,66.98297516048004,1.1425216780365848
responsible,113,97,57.11108864853937,20.0,19.0,55.8191459670667,0.9773784266414419
driver,110,64,55.594865056100275,6.0,5.0,16.74574379012001,0.3012102605864916
camera,106,58,53.57323359951481,2.0,2.0,5.581914596706671,0.10419222851713458
pet,95,65,48.01374709390478,17.0,10.0,47.446274072006695,0.9881810303041666
wet,95,81,48.01374709390478,11.0,10.0,30.700530281886685,0.6394112549100469
potato,91,44,45.992115637319316,12.0,8.0,33.49148758024002,0.7282006299648427
thousand,89,77,44.98129990902659,17.0,17.0,47.446274072006695,1.0547999761658877
explore,87,85,43.970484180733855,12.0,12.0,33.49148758024002,0.761681118698097
sight,74,70,37.4001819468311,11.0,11.0,30.700530281886685,0.8208658002175058
autumn,72,54,36.389366218538356,3.0,3.0,8.372871895060005,0.23009117129290377
hometown,70,56,35.37855049024563,8.0,8.0,22.327658386826684,0.6311072126415025
shirt,70,52,35.37855049024563,2.0,2.0,5.581914596706671,0.1577768031815749
belong,66,56,33.35691903366016,10.0,9.0,27.90957298353335,0.8366951682657912
pace,66,61,33.35691903366016,24.0,23.0,66.98297516048004,2.0080684037959284
inspiration,65,59,32.8515111695138,15.0,13.0,41.86435947530003,1.2743511024197816
fashion,65,44,32.8515111695138,2.0,2.0,5.581914596706671,0.1699134803490189
efficient,65,63,32.8515111695138,18.0,17.0,50.23723137036003,1.5292213228976497
department,64,51,32.34610330536743,2.0,2.0,5.581914596706671,0.17256837847939027
graduate,61,53,30.82987971292833,11.0,10.0,30.700530281886685,0.9958044133729393
precious,57,52,28.808248256342868,13.0,13.0,36.28244487859336,1.2594464111626575
breathe,53,48,26.786616799757404,15.0,13.0,41.86435947530003,1.5628834274851868
external,53,40,26.786616799757404,11.0,9.0,30.700530281886685,1.1461145134990924
assignment,51,36,25.775801071464674,13.0,11.0,36.28244487859336,1.4076165771760452
category,50,40,25.270393207318303,5.0,5.0,13.954786491766676,0.5522188110699106
resort,49,45,24.76498534317194,7.0,7.0,19.536701088473347,0.7888840157973689
suit,48,41,24.259577479025573,5.0,5.0,13.954786491766676,0.575227928196875
rose,43,34,21.732538158293742,5.0,4.0,13.954786491766676,0.6421148965887827
fuck,40,28,20.216314565854645,7.0,7.0,19.536701088473347,0.9663829193429969
turkey,39,32,19.710906701708275,4.0,4.0,11.163829193413342,0.5663782677678361
environmental,39,25,19.710906701708275,2.0,2.0,5.581914596706671,0.2831891339092847
mum,39,27,19.710906701708275,5.0,5.0,13.954786491766676,0.7079728346971117
advertising,38,23,19.205498837561912,0.0,0.0,0.0,5.206842104992046e-11
discount,38,30,19.205498837561912,5.0,4.0,13.954786491766676,0.7266036987671181
retirement,38,19,19.205498837561912,1.0,1.0,2.7909572983533355,0.14532073979507837
mall,37,30,18.70009097341555,5.0,5.0,13.954786491766676,0.7462416365705845
satisfaction,35,29,17.689275245122815,10.0,10.0,27.90957298353335,1.5777680315450262
refresh,30,30,15.162235924390984,10.0,10.0,27.90957298353335,1.8407293701185206
enthusiasm,28,28,14.151420196098252,5.0,5.0,13.954786491766676,0.986105019737037
chip,26,14,13.140604467805518,1.0,1.0,2.7909572983533355,0.21239185046462583
picnic,25,20,12.635196603659152,5.0,3.0,13.954786491766676,1.1044376220961163
blast,22,22,11.118973011220055,2.0,2.0,5.581914596706671,0.502017101001324
bullshit,19,19,9.602749418780956,4.0,4.0,11.163829193413342,1.1625659179876835
tremendous,17,17,8.591933690488224,2.0,2.0,5.581914596706671,0.6496691895139403
assessment,15,14,7.581117962195492,5.0,5.0,13.954786491766676,1.8407293700630718
liar,14,13,7.075710098049126,2.0,2.0,5.581914596706671,0.788884015818681
vine,14,7,7.075710098049126,1.0,1.0,2.7909572983533355,0.3944420079800047
pose,13,13,6.570302233902759,1.0,1.0,2.7909572983533355,0.42478370089692563
involvement,10,9,5.054078641463661,0.0,0.0,0.0,1.9785999996085143e-10
rumor,9,8,4.5486707773172945,0.0,0.0,0.0,2.198444443961129e-10
regain,9,9,4.5486707773172945,5.0,5.0,13.954786491766676,3.0678822831686707
gossip,9,9,4.5486707773172945,2.0,2.0,5.581914596706671,1.227152913399375
cupcake,8,5,4.043262913170929,0.0,0.0,0.0,2.473249999388304e-10
furry,7,7,3.537855049024563,0.0,0.0,0.0,2.826571427772478e-10
superb,7,6,3.537855049024563,0.0,0.0,0.0,2.826571427772478e-10
magician,6,6,3.0324471848781966,0.0,0.0,0.0,3.297666665579206e-10
colonial,5,5,2.5270393207318307,0.0,0.0,0.0,3.9571999984340567e-10
butler,5,5,2.5270393207318307,2.0,2.0,5.581914596706671,2.208875243730388
sexuality,4,4,2.0216314565854643,0.0,0.0,0.0,4.946499997553215e-10
sanctuary,4,4,2.0216314565854643,2.0,2.0,5.581914596706671,2.76109405438983
pal,3,3,1.5162235924390983,0.0,0.0,0.0,6.595333328983491e-10
cuddle,3,2,1.5162235924390983,2.0,1.0,5.581914596706671,3.6814587385794284
merit,3,3,1.5162235924390983,0.0,0.0,0.0,6.595333328983491e-10
jewel,3,3,1.5162235924390983,0.0,0.0,0.0,6.595333328983491e-10
motherfucker,1,1,0.5054078641463661,0.0,0.0,0.0,1.9785999960851425e-09
orgasm,1,1,0.5054078641463661,0.0,0.0,0.0,1.9785999960851425e-09
masked,1,1,0.5054078641463661,0.0,0.0,0.0,1.9785999960851425e-09
