word,mh_token_count,mh_doc_count,mh_freq_per_10k_highgap_tokens
good,653,426,3814.2523364485983
great,127,120,741.8224299065421
interesting,65,56,379.67289719626166
normal,58,56,338.7850467289719
beginning,56,49,327.10280373831773
thank,56,53,327.10280373831773
story,55,45,321.2616822429906
due,54,50,315.4205607476635
special,33,29,192.7570093457944
comfortable,33,32,192.7570093457944
tea,32,21,186.91588785046727
dream,30,24,175.23364485981307
extra,28,22,163.55140186915887
option,27,23,157.71028037383175
grow,26,21,151.86915887850466
decide,26,25,151.86915887850466
wonderful,23,20,134.34579439252337
begin,20,19,116.82242990654206
fresh,20,19,116.82242990654206
clothes,15,14,87.61682242990653
lucky,15,15,87.61682242990653
pace,12,11,70.09345794392523
father,12,9,70.09345794392523
breathe,11,10,64.25233644859813
precious,10,9,58.41121495327103
wear,10,10,58.41121495327103
shop,10,4,58.41121495327103
responsible,10,10,58.41121495327103
area,9,9,52.57009345794392
explore,9,9,52.57009345794392
grocery,9,9,52.57009345794392
assignment,9,7,52.57009345794392
mix,8,8,46.72897196261682
efficient,8,8,46.72897196261682
ideal,8,8,46.72897196261682
belong,8,7,46.72897196261682
park,7,6,40.88785046728972
inspiration,7,6,40.88785046728972
graduate,7,7,40.88785046728972
sight,6,6,35.046728971962615
wet,6,6,35.046728971962615
refresh,6,6,35.046728971962615
born,6,6,35.046728971962615
satisfaction,5,5,29.205607476635514
thousand,5,5,29.205607476635514
regain,5,5,29.205607476635514
external,5,5,29.205607476635514
shoes,4,4,23.36448598130841
card,4,4,23.36448598130841
rose,3,2,17.523364485981308
fuck,3,3,17.523364485981308
resort,3,3,17.523364485981308
autumn,3,3,17.523364485981308
enthusiasm,2,2,11.682242990654204
pet,2,1,11.682242990654204
mum,2,2,11.682242990654204
mall,2,2,11.682242990654204
tremendous,2,2,11.682242990654204
bullshit,2,2,11.682242990654204
cuddle,2,1,11.682242990654204
hometown,2,2,11.682242990654204
shirt,1,1,5.841121495327102
suit,1,1,5.841121495327102
turkey,1,1,5.841121495327102
potato,1,1,5.841121495327102
vine,1,1,5.841121495327102
category,1,1,5.841121495327102
retirement,1,1,5.841121495327102
picnic,1,1,5.841121495327102
assessment,1,1,5.841121495327102
driver,1,1,5.841121495327102
fashion,1,1,5.841121495327102
environmental,1,1,5.841121495327102
department,1,1,5.841121495327102
butler,1,1,5.841121495327102
liar,1,1,5.841121495327102
sanctuary,1,1,5.841121495327102
