selected_hit_count,n_posts,mean_abs_delta_valence,median_abs_delta_valence,mean_abs_delta_arousal,median_abs_delta_arousal,mean_delta_affect_shift_mag,median_delta_affect_shift_mag,mean_signed_delta_valence,mean_signed_delta_arousal
1,4057,0.0690108723294344,0.05232945483377094,0.06423223048150334,0.051081047817465475,0.10411282294037637,0.0887859208290422,-0.0175924456721887,-0.028609378768619312
2,1487,0.104267333184527,0.07749634592158827,0.09403493003905915,0.07221832022059083,0.1555407533345456,0.13535281024491766,-0.025982138886540038,-0.031045442525425893
3,553,0.1428700050011604,0.11275777336571302,0.12492089377118543,0.10194642562885603,0.2120066918025767,0.18693258583264477,-0.03808430889436075,-0.043415416380891664
4,207,0.16740227710177677,0.11331244494575987,0.1412865772191847,0.1228677319010858,0.24613906589107767,0.2065671038146221,-0.06245676822893049,-0.04265476733337749
5,91,0.17412169306318742,0.1139128262115805,0.17386406616038214,0.12000519589230452,0.27527235392833677,0.23330001581633464,-0.0764700443811514,-0.022098096067049888
6,45,0.19975895770212634,0.15716522188494686,0.1842580064028765,0.1330118609580193,0.3008875402806504,0.2720161223781058,-0.12929220117935328,0.06374371265113754
7,15,0.253649825998067,0.15013401221178224,0.15917390402967488,0.09378020632460338,0.34157164309290305,0.28813731296083717,-0.13860283528534134,-0.09827279490670252
8,12,0.15763677082411712,0.12278766085044035,0.16416009053944838,0.12006539031921126,0.24732801014332254,0.23624370741208367,-0.11995366323865786,-0.013920487444138022
9,4,0.1283207318746552,0.07515110657964641,0.20676030375848709,0.22647784412747862,0.2651880798822501,0.22831884669112532,0.10658207525489793,0.04735614147442502
10,5,0.20289710734388322,0.22890711140786646,0.24078696277886266,0.24611246940923337,0.3206651986659049,0.3363531443093865,-0.019628568224204203,0.05257187282478441
11,3,0.30253463729681257,0.12165548695151074,0.8245758687868965,1.1400291663237345,0.917557836977475,1.1489015382878796,-0.2999755610067085,0.8245758687868965
14,2,0.37841626728256017,0.37841626728256017,0.7407741603198694,0.7407741603198694,0.9228472455132866,0.9228472455132866,-0.37841626728256017,0.7407741603198694
15,1,0.030099221906171758,0.030099221906171758,0.5053281432277723,0.5053281432277723,0.5062237603050502,0.5062237603050502,-0.030099221906171758,-0.5053281432277723
