word,overall_token_count,overall_doc_count,overall_freq_per_10k_highgap_tokens,mh_token_count,mh_doc_count,mh_freq_per_10k_highgap_tokens,mh_enrichment_ratio
regain,9,9,4.5486707773172945,5.0,5.0,29.205607476635514,6.42069054917174
breathe,53,48,26.786616799757404,11.0,10.0,64.25233644859813,2.39867307347979
refresh,30,30,15.162235924390984,6.0,6.0,35.046728971962615,2.3114485980443464
pace,66,61,33.35691903366016,12.0,11.0,70.09345794392523,2.1013169073586577
assignment,51,36,25.775801071464674,9.0,7.0,52.57009345794392,2.039513468898648
precious,57,52,28.808248256342868,10.0,9.0,58.41121495327103,2.027586489552787
satisfaction,35,29,17.689275245122815,5.0,5.0,29.205607476635514,1.6510347129137968
extra,200,174,101.08157282927321,28.0,22.0,163.55140186915887,1.6180140186854746
good,4907,3507,2480.036389366219,653.0,426.0,3814.2523364485983,1.5379824073560489
option,204,186,103.1032042858587,27.0,23.0,157.71028037383175,1.5296351016990957
comfortable,254,236,128.373597493177,33.0,32.0,192.7570093457944,1.5015315696480176
efficient,65,63,32.8515111695138,8.0,8.0,46.72897196261682,1.4224299065291972
normal,475,397,240.06873546952392,58.0,56.0,338.7850467289719,1.411200196751853
belong,66,56,33.35691903366016,8.0,7.0,46.72897196261682,1.400877938249098
decide,219,209,110.68432224805419,26.0,25.0,151.86915887850466,1.3720927751427994
graduate,61,53,30.82987971292833,7.0,7.0,40.88785046728972,1.3262409989169497
wonderful,203,187,102.59779642171233,23.0,20.0,134.34579439252337,1.3094413240612535
grow,233,200,117.76003234610332,26.0,21.0,151.86915887850466,1.2896494324310566
begin,180,166,90.9734155463459,20.0,19.0,116.82242990654206,1.2841381100695661
inspiration,65,59,32.8515111695138,7.0,6.0,40.88785046728972,1.2446261682168525
explore,87,85,43.970484180733855,9.0,9.0,52.57009345794392,1.195576861097711
beginning,544,500,274.94187809562317,56.0,49.0,327.10280373831773,1.1897161902137134
fresh,209,180,105.63024360659053,20.0,19.0,116.82242990654206,1.1059562670472463
external,53,40,26.786616799757404,5.0,5.0,29.205607476635514,1.0903059425111763
tea,358,153,180.93601536439908,32.0,21.0,186.91588785046727,1.0330496527957238
responsible,113,97,57.11108864853937,10.0,10.0,58.41121495327103,1.022764866429177
due,625,581,315.8799150914788,54.0,50.0,315.4205607476635,0.998545794392528
lucky,183,167,92.489639138785,15.0,15.0,87.61682242990653,0.9473149992345209
sight,74,70,37.4001819468311,6.0,6.0,35.046728971962615,0.937073756000672
special,407,357,205.701000707571,33.0,29.0,192.7570093457944,0.9370737559992955
