word,valence_l1,arousal_l1,valence_l2,arousal_l2,gap_valence,gap_arousal,gap_mag,abs_gap_valence,abs_gap_arousal
rose,7.11,2.8,7.15,6.15,0.04,3.3500000000000005,3.3502387974590717,0.04,3.3500000000000005
special,7.5,3.48,7.0,6.65,-0.5,3.1700000000000004,3.2091899289384545,0.5,3.1700000000000004
fresh,6.67,2.35,7.57,5.49,0.9000000000000004,3.14,3.266435365960882,0.9000000000000004,3.14
story,7.27,3.52,6.85,6.56,-0.4199999999999999,3.04,3.068876015742571,0.4199999999999999,3.04
grow,6.28,2.6,6.08,5.57,-0.2000000000000001,2.97,2.97672638984506,0.2000000000000001,2.97
refresh,6.62,2.77,6.35,5.72,-0.2700000000000004,2.95,2.962330163908135,0.2700000000000004,2.95
enthusiasm,7.14,4.18,7.13,7.12,-0.0099999999999997,2.9400000000000004,2.940017006753533,0.0099999999999997,2.9400000000000004
extra,6.39,2.9,6.93,5.82,0.54,2.9200000000000004,2.9695117443781904,0.54,2.9200000000000004
tea,6.56,2.05,7.34,4.95,0.7800000000000002,2.9000000000000004,3.003065100859454,0.7800000000000002,2.9000000000000004
superb,7.0,4.33,7.62,7.18,0.6200000000000001,2.85,2.916659047609096,0.6200000000000001,2.85
satisfaction,7.18,3.18,6.85,5.99,-0.33,2.81,2.8293108701590217,0.33,2.81
good,7.89,3.66,7.24,6.46,-0.6499999999999995,2.8,2.8744564703609616,0.6499999999999995,2.8
park,7.0,2.7,6.28,5.49,-0.7199999999999998,2.79,2.881405906844782,0.7199999999999998,2.79
beginning,6.39,3.0,6.33,5.76,-0.0599999999999996,2.76,2.760652096878561,0.0599999999999996,2.76
card,5.5,2.67,5.75,5.43,0.25,2.76,2.771299334247385,0.25,2.76
shirt,5.56,2.3,5.67,5.03,0.1100000000000003,2.7300000000000004,2.7322152184628505,0.1100000000000003,2.7300000000000004
great,7.5,4.14,7.42,6.86,-0.08,2.7200000000000006,2.7211762162711923,0.08,2.7200000000000006
pose,5.63,3.11,5.98,5.79,0.3500000000000005,2.68,2.702757850788709,0.3500000000000005,2.68
bouquet,6.67,3.33,6.73,6.01,0.0600000000000005,2.68,2.6806715576511797,0.0600000000000005,2.68
involvement,5.81,2.95,6.13,5.62,0.3200000000000003,2.67,2.689107658685312,0.3200000000000003,2.67
cuddle,7.6,3.83,7.78,6.5,0.1800000000000006,2.67,2.6760605374318422,0.1800000000000006,2.67
picnic,7.11,3.65,6.76,6.3,-0.3500000000000005,2.65,2.673013280924732,0.3500000000000005,2.65
dream,7.43,4.37,7.66,7.0,0.2300000000000004,2.63,2.64003787851614,0.2300000000000004,2.63
comfortable,7.67,2.38,7.19,5.0,-0.4799999999999995,2.62,2.6636065775560773,0.4799999999999995,2.62
hometown,6.8,3.52,7.01,6.13,0.2099999999999999,2.61,2.618434646883516,0.2099999999999999,2.61
bullshit,2.33,7.0,2.74,4.42,0.4100000000000001,-2.58,2.612374398894615,0.4100000000000001,2.58
motherfucker,1.61,7.33,2.92,4.76,1.3099999999999998,-2.5700000000000003,2.884614358974177,1.3099999999999998,2.5700000000000003
area,5.56,2.19,5.31,4.73,-0.25,2.5400000000000005,2.5522734963165687,0.25,2.5400000000000005
turkey,5.9,3.45,6.45,5.98,0.5499999999999998,2.53,2.589092505106761,0.5499999999999998,2.53
rumor,3.14,3.85,3.2,6.35,0.06,2.5,2.5007198963498487,0.06,2.5
interesting,6.78,5.1,7.07,7.53,0.29,2.4300000000000006,2.447243347115281,0.29,2.4300000000000006
precious,6.84,3.64,7.07,6.05,0.2300000000000004,2.41,2.4209502266672067,0.2300000000000004,2.41
advertising,4.68,3.25,4.93,5.65,0.25,2.4000000000000004,2.412985702402731,0.25,2.4000000000000004
explore,7.0,4.05,6.34,6.45,-0.6600000000000001,2.4000000000000004,2.4890962215229853,0.6600000000000001,2.4000000000000004
gossip,3.5,3.91,3.4,6.29,-0.1,2.38,2.3820999139414787,0.1,2.38
responsible,6.28,3.0,6.59,5.38,0.3099999999999996,2.38,2.400104164406203,0.3099999999999996,2.38
environmental,5.5,6.05,4.56,3.7,-0.9400000000000004,-2.35,2.5310274593532167,0.9400000000000004,2.35
father,6.88,3.68,7.2,6.03,0.3200000000000003,2.35,2.371687163181519,0.3200000000000003,2.35
grocery,6.62,3.48,6.36,5.82,-0.2599999999999998,2.3400000000000003,2.3544001359157285,0.2599999999999998,2.3400000000000003
efficient,6.95,3.86,6.85,6.19,-0.1000000000000005,2.3300000000000005,2.332144935461774,0.1000000000000005,2.3300000000000005
wonderful,7.41,4.57,7.27,6.9,-0.1400000000000005,2.33,2.33420221917468,0.1400000000000005,2.33
wear,6.36,3.33,5.93,5.65,-0.4300000000000006,2.3200000000000003,2.359512661546872,0.4300000000000006,2.3200000000000003
thank,7.77,3.33,7.6,5.65,-0.1699999999999999,2.3200000000000003,2.326220109963802,0.1699999999999999,2.3200000000000003
shoes,5.88,3.57,6.14,5.89,0.2599999999999998,2.32,2.33452350598575,0.2599999999999998,2.32
cupcake,6.9,4.22,6.98,6.53,0.08,2.3100000000000005,2.3113848662652448,0.08,2.3100000000000005
graduate,7.26,4.52,6.89,6.83,-0.3700000000000001,2.3100000000000005,2.339444378479643,0.3700000000000001,2.3100000000000005
pal,6.67,3.25,6.68,5.55,0.0099999999999997,2.3,2.3000217390276987,0.0099999999999997,2.3
external,5.37,3.0,5.24,5.29,-0.1299999999999999,2.29,2.293686988235317,0.1299999999999999,2.29
