word,valence_l1,arousal_l1,valence_l2,arousal_l2,gap_valence,gap_arousal,gap_mag
rose,7.11,2.8,7.15,6.15,0.04,3.3500000000000005,3.3502387974590717
fresh,6.67,2.35,7.57,5.49,0.9000000000000004,3.14,3.266435365960882
special,7.5,3.48,7.0,6.65,-0.5,3.1700000000000004,3.2091899289384545
story,7.27,3.52,6.85,6.56,-0.4199999999999999,3.04,3.068876015742571
tea,6.56,2.05,7.34,4.95,0.7800000000000002,2.9000000000000004,3.003065100859454
grow,6.28,2.6,6.08,5.57,-0.2000000000000001,2.97,2.97672638984506
extra,6.39,2.9,6.93,5.82,0.54,2.9200000000000004,2.9695117443781904
refresh,6.62,2.77,6.35,5.72,-0.2700000000000004,2.95,2.962330163908135
enthusiasm,7.14,4.18,7.13,7.12,-0.0099999999999997,2.9400000000000004,2.940017006753533
superb,7.0,4.33,7.62,7.18,0.6200000000000001,2.85,2.916659047609096
motherfucker,1.61,7.33,2.92,4.76,1.3099999999999998,-2.5700000000000003,2.884614358974177
park,7.0,2.7,6.28,5.49,-0.7199999999999998,2.79,2.881405906844782
good,7.89,3.66,7.24,6.46,-0.6499999999999995,2.8,2.8744564703609616
satisfaction,7.18,3.18,6.85,5.99,-0.33,2.81,2.8293108701590217
card,5.5,2.67,5.75,5.43,0.25,2.76,2.771299334247385
beginning,6.39,3.0,6.33,5.76,-0.0599999999999996,2.76,2.760652096878561
shirt,5.56,2.3,5.67,5.03,0.1100000000000003,2.7300000000000004,2.7322152184628505
great,7.5,4.14,7.42,6.86,-0.08,2.7200000000000006,2.7211762162711923
pose,5.63,3.11,5.98,5.79,0.3500000000000005,2.68,2.702757850788709
assessment,5.22,2.75,3.58,4.89,-1.6399999999999997,2.14,2.6961453966728124
involvement,5.81,2.95,6.13,5.62,0.3200000000000003,2.67,2.689107658685312
bouquet,6.67,3.33,6.73,6.01,0.0600000000000005,2.68,2.6806715576511797
cuddle,7.6,3.83,7.78,6.5,0.1800000000000006,2.67,2.6760605374318422
picnic,7.11,3.65,6.76,6.3,-0.3500000000000005,2.65,2.673013280924732
comfortable,7.67,2.38,7.19,5.0,-0.4799999999999995,2.62,2.6636065775560773
colonial,4.95,2.71,3.07,4.58,-1.8800000000000003,1.87,2.6516598575232084
dream,7.43,4.37,7.66,7.0,0.2300000000000004,2.63,2.64003787851614
assignment,5.39,4.45,2.8,3.96,-2.59,-0.4900000000000002,2.635943853726782
hometown,6.8,3.52,7.01,6.13,0.2099999999999999,2.61,2.618434646883516
bullshit,2.33,7.0,2.74,4.42,0.4100000000000001,-2.58,2.612374398894615
turkey,5.9,3.45,6.45,5.98,0.5499999999999998,2.53,2.589092505106761
area,5.56,2.19,5.31,4.73,-0.25,2.5400000000000005,2.5522734963165687
tremendous,7.0,3.54,5.5,5.58,-1.5,2.04,2.532113741521103
environmental,5.5,6.05,4.56,3.7,-0.9400000000000004,-2.35,2.5310274593532167
vine,6.39,2.7,4.71,4.57,-1.6799999999999995,1.87,2.5138217916153085
rumor,3.14,3.85,3.2,6.35,0.06,2.5,2.5007198963498487
discount,5.78,4.62,6.86,6.87,1.08,2.25,2.4957764322951688
explore,7.0,4.05,6.34,6.45,-0.6600000000000001,2.4000000000000004,2.4890962215229853
blast,4.45,4.5,6.2,6.24,1.75,1.7400000000000002,2.467812796789903
interesting,6.78,5.1,7.07,7.53,0.29,2.4300000000000006,2.447243347115281
shop,5.89,4.76,6.95,6.95,1.0600000000000005,2.1900000000000004,2.433043361717995
precious,6.84,3.64,7.07,6.05,0.2300000000000004,2.41,2.4209502266672067
advertising,4.68,3.25,4.93,5.65,0.25,2.4000000000000004,2.412985702402731
responsible,6.28,3.0,6.59,5.38,0.3099999999999996,2.38,2.400104164406203
begin,6.44,2.85,5.54,5.06,-0.9000000000000004,2.2099999999999995,2.386231338324094
gossip,3.5,3.91,3.4,6.29,-0.1,2.38,2.3820999139414787
pet,7.05,3.76,6.24,6.0,-0.8099999999999996,2.24,2.381952980224421
mum,5.43,3.35,7.31,4.81,1.88,1.4599999999999995,2.380336110720501
father,6.88,3.68,7.2,6.03,0.3200000000000003,2.35,2.371687163181519
decide,6.28,3.1,4.75,4.91,-1.5300000000000002,1.81,2.370021096952515
