word,valence_l1,arousal_l1,valence_l2,arousal_l2,gap_valence,gap_arousal,gap_mag,abs_gap_valence,abs_gap_arousal
assignment,5.39,4.45,2.8,3.96,-2.59,-0.4900000000000002,2.635943853726782,2.59,0.4900000000000002
retirement,6.6,4.09,4.46,3.57,-2.14,-0.52,2.202271554554524,2.14,0.52
wet,5.64,5.0,3.5,4.67,-2.14,-0.33,2.16529443725328,2.14,0.33
mall,4.45,5.3,6.53,6.18,2.08,0.8799999999999999,2.2584950741588967,2.08,0.8799999999999999
orgasm,8.01,7.19,6.04,6.08,-1.97,-1.1100000000000003,2.2611943746613203,1.97,1.1100000000000003
physics,5.53,4.27,3.62,4.72,-1.91,0.4500000000000002,1.9622945752358387,1.91,0.4500000000000002
fashion,5.26,5.25,7.16,6.25,1.9000000000000004,1.0,2.147091055358389,1.9000000000000004,1.0
colonial,4.95,2.71,3.07,4.58,-1.8800000000000003,1.87,2.6516598575232084,1.8800000000000003,1.87
mum,5.43,3.35,7.31,4.81,1.88,1.4599999999999995,2.380336110720501,1.88,1.4599999999999995
snappy,5.55,5.05,3.77,4.48,-1.7799999999999998,-0.5699999999999994,1.869037185290865,1.7799999999999998,0.5699999999999994
silly,6.72,4.86,4.94,4.81,-1.7799999999999994,-0.0500000000000007,1.78070210872004,1.7799999999999994,0.0500000000000007
blast,4.45,4.5,6.2,6.24,1.75,1.7400000000000002,2.467812796789903,1.75,1.7400000000000002
greeting,5.89,4.94,7.62,5.07,1.7300000000000004,0.1299999999999999,1.7348775172904862,1.7300000000000004,0.1299999999999999
blowjob,6.16,6.5,4.46,5.41,-1.7000000000000002,-1.09,2.019430612821347,1.7000000000000002,1.09
stripper,5.19,5.57,3.5,6.12,-1.6900000000000004,0.5499999999999998,1.7772450590731717,1.6900000000000004,0.5499999999999998
airplane,5.25,5.62,6.94,5.54,1.6900000000000004,-0.08,1.6918924315688637,1.6900000000000004,0.08
survey,5.55,3.68,3.86,3.85,-1.69,0.1699999999999999,1.6985287751463027,1.69,0.1699999999999999
vine,6.39,2.7,4.71,4.57,-1.6799999999999995,1.87,2.5138217916153085,1.6799999999999995,1.87
noose,2.43,5.38,4.1,4.39,1.6699999999999997,-0.9900000000000002,1.9413912537147164,1.6699999999999997,0.9900000000000002
instructor,6.15,5.05,4.5,4.26,-1.6500000000000004,-0.79,1.8293714767646292,1.6500000000000004,0.79
frontier,6.53,3.95,4.89,5.04,-1.6400000000000006,1.09,1.9691876497683003,1.6400000000000006,1.09
assessment,5.22,2.75,3.58,4.89,-1.6399999999999997,2.14,2.6961453966728124,1.6399999999999997,2.14
due,4.94,4.38,3.33,6.06,-1.6100000000000003,1.6799999999999995,2.3269078194032526,1.6100000000000003,1.6799999999999995
stream,6.9,4.35,5.29,4.66,-1.6100000000000003,0.3100000000000005,1.6395731151735813,1.6100000000000003,0.3100000000000005
ledge,5.24,4.95,3.64,4.33,-1.6,-0.6200000000000001,1.715925406304132,1.6,0.6200000000000001
redhead,6.71,3.91,5.13,4.59,-1.58,0.6799999999999997,1.7201162751395616,1.58,0.6799999999999997
fog,5.77,3.67,4.2,4.35,-1.5699999999999994,0.6799999999999997,1.7109354166653976,1.5699999999999994,0.6799999999999997
darkness,4.71,4.08,3.15,3.81,-1.56,-0.27,1.5831929762350516,1.56,0.27
replacement,5.45,4.24,3.91,4.49,-1.54,0.25,1.5601602481796542,1.54,0.25
software,6.37,3.83,4.83,4.28,-1.54,0.4500000000000002,1.604400199451496,1.54,0.4500000000000002
